vendor,catalog,description,bin_locations,ai_keywords
ACQ,APFA1K,POWERFLUSH II KIT 1# CAN W/FLUSH CLEANER/HOSE,{22-54-714},"{""POWERFLUSH II KIT"",""Power Flush Kit"",""Flush Cleaner"",Hose,APFA1K,ACQ,""Cleaning Kit"",""Flush System"",""Chemical Cleaner"",""1 Gallon Can""}"
ACQ,APFANZL,POWERFLUSH II INJECTION VALVE,{22-54-712},"{""POWERFLUSH II INJECTION VALVE"",""Injection Valve"",""Flush Valve"",""PF II Valve"",Brass,""API Rated"",""NEMA Type 1""}"
ACQ,APFGUN,POWERFLUSH GUN,{22-54-710},"{""POWERFLUSH GUN"",""power flush gun"",""flush gun"",APFGUN,""cleaning equipment"",N/A,""electric cleaning tool"",""manual flush gun"",""high-pressure cleaning gun""}"
ACQ,APFH0SE,POWERFLUSH HOSE,{22-54-711},"{""Powerflush Hose"",Hose,""Flush Hose"",""Power Flush Hose"",APFH0SE,ACQ,""Material: Rubber"",""NEMA Type: Not Applicable"",""Rating: Industrial Use"",""Water Hose""}"
ACQ,APFK,POWERFLUSH KIT INJECTOR TOOL W/FLUSH CLEANER 16OZ,{22-54-806},"{""Powerflush Kit"",""Injector Tool"",""Flush Cleaner"",""16 oz Cleaner"",""Flush Injection Tool"",""Power Flush System"",""Maintenance Equipment"",""Cleaning Kit"",""ACQ APFK"",""Flush Tool Set""}"
ACQ,ASEZPR0,ACE SEAL LEAK STOP UP TO 1.5 TONS,{22-54-704},"{""ACE SEAL LEAK STOP"",""leak sealant"",""ACE sealant"",""up to 1.5 tons sealant"",""waterproof sealant"",""ACQ ASEZPR0"",N/A,""industrial sealant"",""auto body sealant"",""1.5 ton seal stop""}"
ACQ,DTJR,DRAIN PAN PILLS CONDENSATE DRAIN PAN TABLETS,{22-54-708},"{""Drain Pan Pills"",""Condensate Drain Pan Tablets"",""Drain Pan"",""Condensate Tablets"",""ACQ DTJR"",""Water Treatment Tablets"",""Pills for Drain Pans"",""Drainage System Tablets"",""Chemical Drain Treatment"",N/A}"
ACQ,ECT32,ECOTREAT EPA REGIST BACTERIOSTAT HVAC DUCTS 32OZ,{22-54-703},"{""ECOTREAT EPA REGIST BACTERIOSTAT"",""HVAC DUCTS"",32OZ,bacteriostat,""air treatment"",""HVAC maintenance"",""duct cleaning"",""EPA registered"",ACQ,ECT32}"
ACQ,FLT32,FAST FIND LOW TEMPERATURE SPRAY LEAK DETECTOR 32OZ,{22-54-808},"{""FAST FIND LOW TEMPERATURE SPRAY LEAK DETECTOR"",""leak detector"",""leak detection spray"",""32 oz leak detector"",""low temperature leak spray"",""ACQ FLT32"",""fast finding spray"",""detects refrigerant leaks"",""non-flammable spray"",""thermal conductivity leak detector""}"
ACQ,HPA,*NLA*HIGH PURITY AERO NONFLAMMABLE CNTCT CLNR 12OZ,{22-54-707},"{""High Purity Aero Nonflammable Contact Cleaner"",""Contact Cleaner"",""Aerosol Cleaner"",HPA,Nonflammable,12oz,""Cleaning Solvent"",""Electrical Maintenance"",NLA,""Aero Cleaner""}"
ACQ,HS1,HS1 QUART HAND SPRAYERS,{22-54-801},"{""HS1 QUART HAND SPRAYERS"",""hand sprayers"",""HS1 sprayers"",""Quart size sprayers"",""High flow sprayers"",""Plastic hand spray"",""ACQ sprayers"",""Industrial sprayers"",""NEMA 4 sprayers"",""Spray nozzles""}"
ACQ,LD8,LEAK DETECTOR IRIDESCENT GAS WITH DAUBER 8 OZ,{22-54-705},"{""leak detector"",""iridescent gas leak detector"",""gas leak detector"",LD8,""liquid leak detector"",N/A,""8 oz leak detector"",""chemical detection"",""ACQ leak detector"",""fluid leak detection""}"
ADV,71A5292001D,70W MH QUAD BAL KIT,{14-25-801},"{""70W MH Quad Ballast Kit"",Ballast,""Metal Halide Ballast"",""MH Ballast"",70W,NEMA,""Electrical Equipment"",ADV,""Quad Ballast"",""Lighting Ballast""}"
ADV,71A5492001D,150W MH MULTI-TAP BAL,{14-25-706},"{""150W Metal Halide Multi-Tap Ballast"",""MH Ballast"",""Multi-Tap Ballast"",""150 Watt MH Ballast"",""NEMA type ballast"",""Metal Halide"",""Electrical Ballast"",""High Intensity Discharge"",""ADV brand ballast"",""Energy efficient ballast""}"
ADV,71A5540001D,175W 480V MH BALLAST,{14-25-808},"{""175W MH ballast"",""480V metal halide ballast"",""175W lamp controller"",""MH ballast"",""Metal Halide transformer"",""NEMA ballast type"",""175W ballast"",""ADV ballast"",""high intensity discharge ballast"",""HID lighting ballast""}"
ADV,71A5570001D,175W MH QUAD-TAP BAL,{14-27-902},"{""175W MH QUAD-TAP BALLAST"",""MH ballast"",""metal halide ballast"",""175 watt ballast"",QUAD-TAP,""ADV 71A5570001D"",""NEMA type ballast"",""high-intensity discharge"",""HID ballast"",""175W ballast""}"
ADV,71A6092001D,400W PULSE START MH MULTI TAP M135/155,{14-27-801},"{""400W Pulse Start MH Multi Tap"",""Metal Halide Ballast"",""MH Ballast"",""M135 M155"",""Multi Tap Ballast"",""Pulse Start"",""400 Watt"",""NEMA Type"",""Energy Efficient"",""High-Intensity Discharge""}"
ADV,71A6742001,1500W MH 480V BAL,{14-27-802},"{""1500W Metal Halide Ballast"",""MH Ballast"",""Metal Halide"",""1500 Watt Ballast"",""480V Ballast"",""ADV 71A6742001"",""Ballast for MH lamps"",""High-intensity discharge"",NEMA,""Electrical ballast""}"
ADV,71A6772001,1500W MH QUAD TAP BAL,{14-28-901},"{""1500W Metal Halide Quad Tap Ballast"",Ballast,""MH Ballast"",""Metal Halide"",""1500 Watt"",""Quad Tap"",""ADV Products"",""Electrical Ballast"",""NEMA Type"",""Rating: High Efficiency""}"
ADV,71A8172001D,150W HPS QUAD BAL,{14-27-703},"{""150W HPS Quad Ballast"",""HPS ballast"",""high pressure sodium ballast"",""ballast for HPS"",""150 watt ballast"",""HPS 150W"",""NEMA type ballast"",""ADV ballast"",""high efficiency ballast"",""electrical supply""}"
ADV,71A8753001,1000W HPS 5-TAP BAL,{14-28-705},"{""1000W HPS Ballast"",""HID Ballast"",""High Pressure Sodium Ballast"",""5-Tap Ballast"",""Ballast for HPS"",""HPS 5-Tap"",""ADV 71A8753001"",""1000W Ballast"",""NEMA Type for ballast"",""Electrical supply components""}"
ADV,929001782813,(929001782813) 180W PROGRAMABLE DRIVER FOR OUTDOOR,{17-05-810},"{""180W Programmable Driver"",""Outdoor Driver"",""Power Supply"",""LED Driver"",""Programmable Power Supply"",""NEMA Rated"",""Weatherproof Driver""}"
ADV,CI034C070V048CDX,CERTADRIVE X 34W 0.675-0.7A 120-277V,{00-00-712},"{""CERTADRIVE X 34W"",Ballast,""CERTA DRIVE"",C034C070V048CDX,""34 Watt"",""LED Driver"",0.675-0.7A,120-277V,""Electrical Supply"",""NEMA type""}"
ADV,HCN4S5490C2LSG35,*DISCONTINUED*4L T5 HO MULT/VOLT BAL FOR FBAY,{14-36-804},"{""4L T5 HO Multi-Volt Ballast"",Ballast,""4L T5 Ballast"",""High Output Ballast"",""Fluorescent Ballast"",""Multi-Voltage Ballast"",HCN4S5490C2LSG35,""ADV Ballast"",""NEMA Rated"",""Discontinued Ballast""}"
ADV,I0P2P59N35I,2-59W T8 120/277V ELEC BAL,{14-36-801},"{""2-59W T8 ballast"",""electronic ballast"",""T8 fluorescent ballast"",""120V 277V ballast"",""ADV 2-59W electronic ballast"",""lamp ballast"",""NEMA ballast type"",""ballast 2-59W"",""T8 bulb ballast""}"
ADV,I0P4PSP32SC35I,500 (4) F32T8 12 ELE BAL,{00-00-611},"{""500 F32T8 12 Ele Ballast"",""F32T8 ballast"",""T8 fluorescent ballast"",""electronic ballast"",""12 ballast"",""500 mA ballast"",""NEMA ballast"",""ADV ballast"",""energy-efficient ballast"",""fluorescent lighting component""}"
ADV,ICF2S18H1LDK,2-18W COMP 277 BAL,{14-34-706},"{""2-18W COMP 277 BAL"",ballast,""compact fluorescent ballast"",""277V ballast"",""fluorescent lighting"",""NEMA type ballast"",""electrical ballast"",""ADV ICF2S18H1LDK"",""rated ballast""}"
ADV,ICF2S26H1LDK,2-26W T4 4PIN 120/277V PLUG IN CFL ELEC BAL,{00-00-509},"{""2-26W T4 CFL"",""4PIN light fixture"",""plug-in compact fluorescent"",""CFL electronic ballast"",""120/277V lighting"",""ADV ICF2S26H1LDK"",""NEMA lighting"",""energy-efficient bulb"",""replacement ballast"",""T4 lamp holder""}"
ADV,ICF2S42M2LDK,2-42W COMP 120-277V PLUG IN CFL ELEC BAL,{14-38-704},"{""2-42W Compact Fluorescent Light Electric Ballast"",""CFL Ballast"",""Compact Fluorescent Lamp Ballast"",ICF2S42M2LDK,""ADV Electrical Supply"",""120-277V CFL Driver"",""Lighting Ballast"",""NEMA Ballast"",""Energy Efficient Electrical Component"",""Plug-in CFL Ballast""}"
ADV,ICN2P32N35I,2-F32T8 120/277V ELEC BAL,{14-26-902},"{""2-F32T8 electronic ballast"",""electronic ballast"",""F32T8 ballast"",""NEMA type ballast"",""120V 277V ballast"",""ADV electronic parts"",""NEMA ballast"",""2-lamp T8 ballast"",ICN2P32N35I,""lighting ballast""}"
ADV,ICN2P60N35I,2 LAMP T12 120-277V BAL,{14-21-701},"{""2 LAMP T12 BAL"",ICN2P60N35I,""electronic ballast"",""lighting ballast"",""T12 ballast"",120-277V,""ADV ballast"",NEMA,""high efficiency"",""energy rated""}"
ADV,ICN2S110SC35I,(2)F96T12/HO BAL,{14-21-705},"{""F96T12/HO Ballast"",""fluorescent ballast"",""high output ballast"",ICN2S110SC35I,""ADV ballast"",""electrical supply"",""NEMA type ballast"",""2-lamp fixture"",""high efficiency transformer"",""40-watt ballast""}"
ADV,ICN2S28N35I,(2)F28T5 ELEC BAL,{14-26-803},"{""F28T5 electronic ballast"",""2-lamp F28T5 ballast"",""adv ballast"",""electronic ballast"",""F28T5 ballast"",""NEMA type ballast"",""2-lamp electronic ballast"",""28 watt T5 ballast"",""ADV ICN2S28N35I electronic ballast"",""light fixture ballast""}"
ADV,ICN2S5490CT35I,(2) F54T5/HO 120-277V ELE BAL,{14-34-703},"{""F54T5/HO ballast"",""electronic ballast"",""ADV ballast"",""120-277V ballast"",""high output fluorescent ballast"",""NEMA ballast"",""suitable for F54T5"",""lighting ballast"",""ENERGY STAR rated"",ICN2S5490CT35I}"
ADV,ICN2TTP40SC35I,(2)40W ELEC BAL,{14-23-901},"{""40W Electric Ballast"",Ballast,""Electronic Ballast"",""2x40W Ballast"",ICN2TTP40SC35I,""NEMA Type"",""ADV Electronics"",""Fluorescent Ballast"",""Light Fixture Component"",""High Efficiency Ballast""}"
ADV,ICN3P32N35I,120-277V ELEC BAL,{14-34-705},"{""120-277V Electronic Ballast"",""Electronic Ballast"",Ballast,ICN3P32N35I,ADV,""NEMA Type"",""Electronic Lighting Control"",Cost-effective,""Energy Efficient""}"
ADV,ICN4P32N35I,4LMP F32T8 120-277V ELEC BAL,{14-22-901},"{""4LMP F32T8"",""electric ballast"",""electronic ballast"",""fluorescent ballast"",120-277V,""NEMA type"",ADV,ICN4P32N35I,""ratings: high efficiency"",""4-lamp T8""}"
ADV,ISB084846EI,(4-6) T12HO 8-48FT 120-277V ELEC SIGN BAL,{14-26-804},"{""T12HO fluorescent lamp"",""electronic sign ballast"",""8-48FT electric sign ballast"",""120-277V sign ballast"",""ballast for T12HO"",""high output fluorescent ballast"",""NEMA type for sign lighting"",""ADV ballast"",ISB084846EI,""commercial lighting ballast"",14.63m,""14.63 m""}"
ADV,XI050C150V054BST,XITANIUM 50W G5 0.1-1.5A 54V 120-277V,{14-49-803},"{""XITANIUM 50W"",""LED driver"",""50W driver"",Xitanium,""0.1-1.5A range"",""54V power supply"",""120-277V input"",""ADV brand"",""rated for efficiency"",""dimmiable driver""}"
ADV,XI075C200V054BST,75W PROGRAMMABLE DRVR 0.1-2A 54V 0-10V TROF/LIN,{14-36-805},"{""75W programmable driver"",""programmable LED driver"",""0.1-2A driver"",""54V linear driver"",""0-10V dimmable driver"",""troffer lighting driver"",""ADV XI075C200V054BST"",""electrical supply"",""NEMA driver"",""high-efficiency LED driver""}"
ADV,XI180C125V200BSF,*DISCONTINUED*180W PROGRMBL DRIVER FOR OUTDOOR LED,{14-19-605},"{""180W programmable driver"",""outdoor LED driver"",""ADV XI180C125V200BSF"",""LED power supply"",""LED driver"",""electrical driver"",""NEMA 1"",""discontinued product"",""electronic transformer"",""constant voltage driver""}"
AFA,3991,.084 ORFICE ASPEN COILS,{22-51-802},"{"".084 ORFICE ASPEN COILS"",""Orifice Coils"",""Aspen Coils"",""HVAC Components"",""Coil Assembly"",""Air Conditioning Parts"",""R-410A Compatible"",Copper,""NEMA Rated"",""High Efficiency""}"
AFA,3999,.055 ORFICE ASPEN COILS,{22-51-802},"{"".055 Orifice Aspen Coils"",Orifice,""Aspen Coil"",HVAC,""orifice expansion"",""coil assembly"",brass,""NEMA rated"",""high efficiency"",""0.055 inch""}"
AFA,CH24A34000,2 TON SLAB EVAP COIL W/FACTORY INSTALLED R410 TXV,{22-27-903},"{""2 TON SLAB EVAP COIL"",""evaporator coil"",""air conditioning parts"",""R410A TXV"",""two ton coil"",""HVAC components"",""AFA CH24A34000"",""factory installed TXV"",""NEMA compliant"",""copper coil material""}"
AFA,CH36A34000,3 TON SLAB EVAP COIL W/FACTORY INSTALLED R410 TXV,{20-61-702},"{""3 TON SLAB EVAP COIL"",""evaporator coil"",""AFA CH36A34000"",""R410 TXV"",HVAC,""refrigerant coil"",""tonnage: 3"",""factory installed TXV"",""coil material: aluminum"",""NEMA type: not applicable""}"
AFA,CH48A34000,4 TON SLAB EVAP COIL W/FACTORY INSTALLED R410 TXV,{22-27-902},"{""4 TON SLAB EVAP COIL"",""evaporator coil"",""evap coil"",""R410A TXV expansion valve"",HVAC,""AFA CH48A34000"",""factory installed TXV"",""R410A compatible"",""NEMA type"",""coil material""}"
AFA,CH60A34000,5 TON SLAB EVAP COIL W/FACTORY INSTALLED R410 TXV,{22-27-901},"{""5 ton slab evaporator coil"",""evaporator coil"",""HVAC evaporator"",""R410A TXV"",""factory installed TXV"",""cooling coil"",""air conditioning part"",""slab coil"",""AFA CH60A34000"",""NEMA type not applicable""}"
AIR,AS50MBG,FINISH KIT FOR AS50,{18-60-901},"{""Finish Kit for AS50"",AS50MBG,""Air Finish Kit"",""AS50 kit"",""finish assembly"",""aircraft finish kit"",""NEMA rating equipment"",""electrical finishing components"",""kit for AS50"",""material: aluminum""}"
AIR,ASHSG,HOUSING FOR AS50,{18-58-901},"{""HOUSING FOR AS50"",ASHSG,""AIR housing"",""AS50 housing"",""electrical housing"",""NEMA type housing"",""plastic housing"",""electrical parts housing"",""ASHSG electrical housing"",""AIR ASHSG""}"
AIR,ASLC50MBG,50CFM LT/MTR/BLD 4PK,{23-11-601},"{""50 CFM"",""air supply"",""low torque motor"",""4 pack"",blower,ASLC50MBG,AIR,""ventilation fan"",HVAC,""NEMA type""}"
AIR,BFQ80T,FINISH KIT FOR BFQ80,{18-58-902},"{""Finish Kit BFQ80"",""AIR BFQ80T"",""BFQ80 Finish Kit"",""Electrical Accessory"",""HVAC Component"",""AIR Finish Kit"",BFQ80,""Accessory Kit"",""NEMA Rated"",""Installation Kit""}"
AIR,BFQHSG,HOUSING FOR BFQ80,{18-58-903},"{""BFQ80 housing"",""AIR BFQ80 housing"",BFQHSG,""BFQ housing unit"",""BFQ80 enclosure"",""housing for BFQ80"",""NEMA housing"",""plastic housing"",""electrical enclosure"",""BFQ80 component""}"
ALF,55499003,12-3 CU THHN ARMRD CBL MULTI-NEUTRAL 1000',{11-45-901},"{""12-3 CU THHN ARMRD CBL"",""armored cable"",""multi-neutral cable"",""1000 ft cable"",""Copper THHN wire"",""THHN cable"",""NEMA rated cable"",""CU THHN"",""electrical wiring"",""conductor type""}"
ALF,8017,8/2 W/#10GRND NM A/C 6' WHIP,{19-32-702},"{""8/2 NM cable"",""non-metallic sheathed cable"",""building wire"",""NEMA rated"",""6 foot whip"",""10 ground wire"",""ALF electrical parts"",""copper conductor"",""rated for indoor use"",""8 gauge wire""}"
ALF,ALF1,"1"" ALU FLEXIBLE CONDUIT 50'",{19-22-901},"{""1 inch aluminum flexible conduit"",""flexible conduit"",""aluminum conduit"",""alu flex conduit"",""conduit 50 feet"",""aluminum electrical conduit"",""NEMA ratings"",""flexible tubing"",""conduit pipe"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm"",""1\"""",1,""1 inch"",""1 in""}"
ALF,ALF112150,"1-1/2"" ALU FLEXIBLE CONDUIT 150'",{19-24-502},"{""1-1/2 inch aluminum flexible conduit"",""flexible conduit"",ALF112150,""alu flex conduit"",""150 feet flexible conduit"",""aluminum conduit"",""NEMA rated conduit"",""flexible tubing"",""electrical conduit"",""ALF flexible conduit"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
ALF,ALF114,"1-1/4"" ALU FLEXIBLE CONDUIT",{19-24-902},"{""1-1/4 inch aluminum flexible conduit"",""ALF114 flexible conduit"",""flex conduit"",""flexible conduit aluminum"",""1.25 inch ALU flex"",""NEMA type conduit"",""ALF electrical supplies"",""conduit for wiring"",""rated flexible tubing"",""aluminum wire conduit"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",""1-1/4\"""",1-1/4,""1 1/4"",""1-1/4 inch"",""1-1/4 in"",""1.25\""""}"
ALF,ALF114250,"1-1/4"" ALU FLEXIBLE CONDUIT 250'",{19-32-601},"{""1-1/4 inch aluminum flexible conduit"",""flexible conduit"",""alu flex conduit"",ALF114250,""metal conduit"",""aluminum conduit"",""250 foot flexible conduit"",""NEMA approved conduit"",""rated conduit"",ALF,31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
ALF,ALF12,"1/2"" ALU FLEXIBLE CONDUIT 100'",{19-20-901},"{""1/2 inch aluminum flexible conduit"",""flexible conduit"",ALF12,""ALU conduit"",""diversity of flexible conduits"",""NEMA rated conduit"",""100 feet aluminum conduit"",""heavy duty flexible conduit"",""electrical conduit"",""aluminum electrical conduit"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",""1/2\"""",1/2,""1/2 inch"",""1/2 in"",""0.5\""""}"
ALF,ALF1400,"1"" ALU FLEXIBLE CONDUIT 400'",{19-26-701},"{""1 inch ALU flexible conduit"",""ALF 1400"",""flexible electrical conduit"",""aluminum flexible conduit"",""1\"" conduit"",""conduit 400 feet"",""NEMA rated conduit"",""electrical conduit tubing"",""ALF aluminum conduit"",""flexible conduit pipe"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
ALF,ALF212,"2-1/2"" ALU FLEXIBLE CONDUIT 25'",{19-26-901},"{ALF212,""2-1/2\"" aluminum flexible conduit"",""flexible conduit"",""aluminum conduit"",""NEMA approved flexible conduit"",""flex conduit 25'"",""non-metallic conduit"",""ALU flexible"",""lightweight conduit"",""UL listed conduit"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",""2-1/2\"""",2-1/2,""2 1/2"",""2-1/2 inch"",""2-1/2 in"",""2.5\""""}"
ALF,ALF2150,"2"" ALU FLEXIBLE CONDUIT 150'",{19-25-701},"{""2\"" Aluminum Flexible Conduit"",ALF2150,""alu flex conduit"",""flex conduit"",""aluminum conduit"",""2 inch flexible conduit"",""150 foot conduit"",""NEMA type"",""weather resistant"",""flexible tubing"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
ALF,ALF312,"3-1/2"" ALU FLEXIBLE CONDUIT",{19-28-702},"{""3-1/2 inch aluminum flexible conduit"",ALF312,""flexible conduit"",""alu conduit"",""aluminum conduit"",""NEMA type conduit"",""metal flexible conduit"",""conduit sizing"",""flexible raceway"",""conduit material aluminum"",88.9mm,""88.9 mm"",89mm,""89 mm"",8.89cm,""8.89 cm"",8.9cm,""8.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",""3-1/2\"""",3-1/2,""3 1/2"",""3-1/2 inch"",""3-1/2 in"",""3.5\""""}"
ALF,ALF34,"3/4"" ALU FLEXIBLE CONDUIT 100'",{19-22-902},"{""3/4 inch aluminum flexible conduit"",""flexible conduit"",""alu flex conduit"",""aluminum conduit 100ft"",ALF34,""NEMA type for conduit"",""conduit material aluminum"",""flexible raceway"",""ALF electrical supply"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",""3/4\"""",3/4,""3/4 inch"",""3/4 in"",""0.75\""""}"
ALF,ALF341000,"3/4"" ALU FLEXIBLE CONDUIT 1000'",{19-14-701},"{""3/4 inch aluminum flexible conduit"",""flexible conduit"",ALF341000,""alu conduit"",""flex conduit"",""metal conduit"",N/A,""1000 feet"",aluminum,""conduit wire management"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
ALF,ALF38,"3/8"" ALU FLEXIBLE CONDUIT 100'",{19-20-902},"{""3/8 inch aluminum flexible conduit"",""ALF38 flexible conduit"",""alu flexible conduit"",""flex conduit"",""100 foot conduit"",""electrical conduit"",""lightweight conduit"",""flexible metallic conduit"",""NEMA rated conduit"",FMC,9.5mm,""9.5 mm"",10mm,""10 mm"",0.95cm,""0.95 cm"",1cm,""1 cm"",""3/8\"""",3/8,""3/8 inch"",""3/8 in"",""0.375\""""}"
ALF,HCF122WGRDWH250,12/2 WG ALU HCF CABLE RD/WH 250',{12-23-802},"{""12/2 WG ALU HCF CABLE RD/WH 250'"",""HCF cable"",""12 gauge wire"",""aluminum cable"",""weather resistant cable"",HCF,""NEMA type not applicable"",""red white cable"",""250 feet cable"",conductors}"
ALF,HCF123BKWHRD,12/3 WG ALU HCF CABLE WH/RD 250',{12-22-905},"{""12/3 WG ALU HCF CABLE"",""HCF CABLE"",""12/3 ALUMINUM WIRE"",""HCF 12/3 CABLE"",""12 AWG HCF CABLE"",""250 feet aluminum cable"",""Weather resistant wire"",""Electrical wiring"",""NEMA rated cable"",""Heavy duty insulated cable""}"
ALF,LT1,"1"" MET L/T, NON UL 100'",{19-21-901},"{""1 inch MET L/T"",""ALF LT1"",""metal conduit"",""non UL"",""100 foot length"",""liquid-tight conduit"",""NEMA rated"",""LT conduit"",""electrical conduit"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
ALF,LT112,"1-1/2"" MET L/T, NON UL 50'",{19-23-901},"{""1-1/2 inch MET L/T"",""Electrical Conduit"",""Metallic Conduit"",""NEMAL Type"",""Non UL Rated"",""50 feet length"",""ALF LT112"",""Conduit tubing"",""Steel conduit"",""Electrical supply"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
ALF,LT114,"1-1/4"" MET L/T, NON UL 50'",{19-21-902},"{""1-1/4 inch metallic liquid tight conduit"",""metallic conduit"",""L/T conduit"",""liquid tight conduit"",""non-UL listed conduit"",""ALF LT114"",""conduit 50 feet"",""NEMA rated"",""metal conduit"",""flexible conduit"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
ALF,LT12,"1/2"" MET L/T, NON UL 100'",{19-19-901},"{""1/2 inch metallic conduit"",""lightweight metallic conduit"",""non UL conduit"",""metal conduit"",""L/T conduit"",LT12,""ALF LT12"",""galvanized steel"",""conduit category"",""100 feet long"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
